Frame,A_x,A_y,A_Diameter,B_x,B_y,B_Diameter,C_x,C_y,C_Diameter,D_x,D_y,D_Diameter
165,1154.0,536.0,48.0,1214.0,296.0,26.0,740.0,286.0,20.0,706.0,512.0,40.0
166,1188.0,504.0,40.0,1178.0,286.0,20.0,706.0,296.0,26.0,744.0,544.0,44.0
167,1220.0,476.0,38.0,1148.0,282.0,26.0,672.0,302.0,22.0,784.0,582.0,48.0
168,1250.0,448.0,42.0,1118.0,274.0,24.0,630.0,314.0,28.0,840.0,628.0,56.0
169,1276.0,432.0,42.0,1086.0,268.0,18.0,590.0,316.0,34.0,902.0,678.0,58.0
170,1298.0,408.0,32.0,1060.0,262.0,16.0,540.0,328.0,24.0,978.0,738.0,58.0
171,848.0,666.0,58.0,1366.0,350.0,40.0,880.0,270.0,18.0,652.0,400.0,42.0
172,922.0,614.0,52.0,1314.0,328.0,34.0,852.0,274.0,18.0,678.0,414.0,38.0
173,982.0,570.0,48.0,1272.0,322.0,24.0,824.0,282.0,20.0,710.0,428.0,40.0
174,1034.0,532.0,44.0,1232.0,312.0,24.0,794.0,288.0,22.0,740.0,452.0,38.0
175,1078.0,500.0,40.0,1192.0,304.0,24.0,760.0,296.0,22.0,774.0,476.0,38.0
176,1118.0,472.0,40.0,1156.0,294.0,26.0,726.0,304.0,24.0,816.0,502.0,44.0
177,1152.0,446.0,36.0,1124.0,288.0,24.0,688.0,314.0,28.0,864.0,534.0,44.0
178,1180.0,424.0,38.0,1096.0,280.0,18.0,650.0,320.0,30.0,916.0,570.0,48.0
179,1210.0,406.0,34.0,1064.0,274.0,22.0,606.0,328.0,34.0,980.0,612.0,52.0
180,1230.0,386.0,38.0,1040.0,268.0,18.0,558.0,338.0,38.0,1054.0,662.0,58.0
181,786.0,606.0,56.0,1348.0,354.0,38.0,904.0,276.0,18.0,712.0,374.0,30.0
182,858.0,562.0,48.0,1298.0,344.0,32.0,878.0,282.0,24.0,738.0,392.0,34.0
183,918.0,526.0,44.0,1252.0,332.0,30.0,848.0,290.0,24.0,770.0,406.0,32.0
184,970.0,494.0,40.0,1210.0,324.0,30.0,818.0,296.0,28.0,802.0,426.0,34.0
185,1016.0,468.0,38.0,1172.0,316.0,24.0,782.0,306.0,22.0,838.0,446.0,36.0
186,1056.0,444.0,36.0,1136.0,306.0,22.0,748.0,314.0,28.0,880.0,470.0,38.0
187,1090.0,422.0,34.0,1102.0,300.0,20.0,708.0,324.0,24.0,926.0,496.0,40.0
188,1122.0,402.0,32.0,1070.0,290.0,24.0,666.0,334.0,30.0,980.0,524.0,44.0
189,1148.0,386.0,30.0,1042.0,284.0,20.0,622.0,344.0,32.0,1040.0,558.0,48.0
190,1176.0,370.0,28.0,1016.0,276.0,18.0,572.0,354.0,40.0,1112.0,598.0,50.0
191,738.0,554.0,44.0,1334.0,374.0,30.0,930.0,286.0,20.0,764.0,358.0,28.0
192,806.0,520.0,42.0,1280.0,360.0,32.0,902.0,292.0,22.0,792.0,370.0,32.0
193,864.0,490.0,38.0,1230.0,346.0,34.0,872.0,302.0,20.0,822.0,386.0,30.0
194,916.0,462.0,36.0,1190.0,340.0,30.0,840.0,310.0,24.0,856.0,402.0,32.0
195,962.0,440.0,34.0,1150.0,328.0,24.0,808.0,318.0,24.0,892.0,420.0,32.0
196,1002.0,418.0,32.0,1112.0,318.0,24.0,768.0,328.0,24.0,934.0,440.0,34.0
197,1038.0,400.0,32.0,1078.0,308.0,24.0,730.0,338.0,26.0,980.0,462.0,38.0
198,1070.0,384.0,30.0,1046.0,302.0,20.0,684.0,350.0,28.0,1032.0,486.0,40.0
199,1098.0,368.0,30.0,1016.0,292.0,22.0,638.0,364.0,32.0,1092.0,514.0,42.0
200,1124.0,354.0,28.0,990.0,284.0,20.0,588.0,372.0,36.0,1162.0,548.0,44.0
201,692.0,514.0,40.0,1316.0,398.0,38.0,958.0,296.0,20.0,810.0,342.0,26.0
202,762.0,484.0,40.0,1262.0,380.0,30.0,930.0,304.0,20.0,838.0,354.0,28.0
203,818.0,458.0,36.0,1210.0,366.0,28.0,900.0,312.0,22.0,868.0,368.0,28.0
204,868.0,436.0,34.0,1164.0,352.0,28.0,868.0,322.0,24.0,902.0,382.0,30.0
205,914.0,416.0,34.0,1124.0,342.0,26.0,832.0,330.0,24.0,938.0,398.0,32.0
206,954.0,398.0,30.0,1088.0,330.0,24.0,796.0,342.0,26.0,980.0,414.0,32.0
207,990.0,380.0,28.0,1052.0,320.0,24.0,754.0,352.0,26.0,1026.0,434.0,36.0
208,1022.0,366.0,30.0,1018.0,312.0,22.0,708.0,368.0,34.0,1076.0,454.0,36.0
209,1054.0,352.0,30.0,990.0,304.0,20.0,660.0,380.0,32.0,1132.0,476.0,42.0
210,1080.0,340.0,26.0,962.0,294.0,22.0,604.0,398.0,38.0,1198.0,506.0,42.0
211,656.0,478.0,38.0,1294.0,420.0,38.0,988.0,304.0,20.0,852.0,330.0,24.0
212,724.0,454.0,36.0,1236.0,398.0,34.0,960.0,312.0,24.0,880.0,338.0,26.0
213,778.0,432.0,36.0,1186.0,384.0,32.0,930.0,324.0,24.0,910.0,352.0,26.0
214,828.0,412.0,34.0,1138.0,370.0,30.0,898.0,334.0,26.0,944.0,364.0,28.0
215,872.0,394.0,32.0,1096.0,356.0,28.0,862.0,344.0,26.0,980.0,378.0,30.0
216,912.0,378.0,28.0,1056.0,344.0,26.0,824.0,358.0,28.0,1020.0,392.0,28.0
217,948.0,364.0,28.0,1022.0,334.0,26.0,780.0,370.0,30.0,1064.0,408.0,34.0
218,982.0,350.0,26.0,990.0,324.0,24.0,734.0,384.0,32.0,1114.0,426.0,34.0
219,1012.0,338.0,26.0,960.0,312.0,24.0,684.0,398.0,34.0,1166.0,448.0,34.0
220,1038.0,328.0,24.0,932.0,304.0,20.0,626.0,416.0,36.0,1228.0,470.0,36.0
221,628.0,454.0,44.0,1270.0,446.0,40.0,1022.0,316.0,24.0,888.0,318.0,22.0
222,690.0,426.0,36.0,1210.0,422.0,34.0,994.0,326.0,26.0,916.0,326.0,24.0
223,744.0,408.0,32.0,1156.0,404.0,32.0,962.0,336.0,26.0,946.0,336.0,24.0
224,792.0,390.0,32.0,1108.0,388.0,32.0,930.0,348.0,26.0,980.0,348.0,26.0
225,836.0,376.0,30.0,1064.0,374.0,28.0,894.0,360.0,26.0,1016.0,360.0,28.0
226,876.0,362.0,26.0,1024.0,360.0,26.0,854.0,374.0,28.0,1054.0,372.0,30.0
227,912.0,348.0,26.0,990.0,348.0,26.0,812.0,388.0,32.0,1098.0,386.0,30.0
228,944.0,336.0,26.0,956.0,336.0,26.0,762.0,404.0,32.0,1146.0,402.0,32.0
229,974.0,324.0,24.0,926.0,326.0,26.0,710.0,422.0,34.0,1200.0,420.0,34.0
230,1002.0,314.0,24.0,898.0,314.0,22.0,652.0,444.0,38.0,1258.0,438.0,42.0
231,610.0,426.0,28.0,1244.0,472.0,36.0,1058.0,328.0,26.0,922.0,306.0,22.0
232,662.0,404.0,34.0,1178.0,448.0,36.0,1030.0,338.0,26.0,950.0,312.0,24.0
233,716.0,386.0,34.0,1120.0,430.0,32.0,1000.0,352.0,26.0,980.0,324.0,22.0
234,760.0,372.0,30.0,1074.0,410.0,32.0,966.0,364.0,28.0,1012.0,334.0,26.0
235,804.0,358.0,28.0,1028.0,392.0,30.0,930.0,378.0,30.0,1048.0,344.0,26.0
236,844.0,346.0,26.0,988.0,378.0,30.0,890.0,394.0,30.0,1086.0,356.0,26.0
237,878.0,334.0,26.0,952.0,364.0,28.0,846.0,410.0,32.0,1128.0,368.0,28.0
238,910.0,324.0,24.0,920.0,352.0,26.0,798.0,428.0,34.0,1174.0,382.0,32.0
239,940.0,314.0,24.0,888.0,338.0,26.0,744.0,450.0,34.0,1224.0,398.0,32.0
